# k (MeV)	C(k)
0.10000000149011612	258.40669712855043
1.0	25.840729131087798
2.0	12.920466721742077
3.0	8.614355126836642
4.0	6.465423351029147
5.0	5.185272021275931
6.0	4.343787322081629
7.0	3.754603955274592
8.0	3.3230653565679793
9.0	2.9958772643000535
10.0	2.74082525765554
13.0	2.235214554956571
16.0	1.9396096756765309
19.0	1.7481459426263417
22.0	1.6150149946984131
25.0	1.5175360021647841
28.0	1.4433183378265309
31.0	1.3850659263899896
34.0	1.3382214797829912
37.0	1.2998002998574762
40.0	1.2677695433868168
43.0	1.2406992365296545
46.0	1.2175545559589553
49.0	1.1975692549188095
52.0	1.1801638102102605
55.0	1.1648922983151948
60.0	1.143266422003769
65.0	1.125420807290531
70.0	1.1105080459868952
75.0	1.0979151013205657
80.0	1.0871877103240826
85.0	1.0779812693878172
90.0	1.070029858784448
95.0	1.0631243633915373
100.0	1.0570984180978085
105.0	1.0518173882323676
110.0	1.0471716852093285
115.0	1.0430706561406333
120.0	1.0394389883563366
125.0	1.0362134466144972
130.0	1.0333404692470556
135.0	1.030775026368494
140.0	1.0284782998491895
145.0	1.0264169455002896
150.0	1.024562444849317
155.0	1.0228899442395099
160.0	1.0213782088415928
165.0	1.0200086361365093
170.0	1.0187647664190123
175.0	1.017632671142408
180.0	1.0165998285299227
185.0	1.0156556156350898
190.0	1.0147902798988788
195.0	1.0139955872580684
200.0	1.0132642628246034
205.0	1.0125897438027227
210.0	1.01196638264684
215.0	1.0113891065317595
220.0	1.010853540600353
225.0	1.0103558120245966
230.0	1.0098921022215686
235.0	1.0094596900741608
240.0	1.0090555113108401
245.0	1.0086772730628717
250.0	1.0083227927392047
255.0	1.0079898844353439
260.0	1.007676976639168
265.0	1.00738242567868
270.0	1.007104730651166
275.0	1.0068425928460187
280.0	1.0065950308889737
285.0	1.006360786329359
290.0	1.0061389370737936
295.0	1.005928649343728
300.0	1.0057290953487759
305.0	1.00553950350142
310.0	1.0053593148905093
315.0	1.005187832506076
320.0	1.0050245638209818
325.0	1.0048689352651021
330.0	1.0047204499582207
335.0	1.0045787251394485
340.0	1.004443256919753
345.0	1.0043138372015827
350.0	1.0041900956783698
355.0	1.0040714935576986
360.0	1.0039580424556498
365.0	1.003849148198789
370.0	1.0037448420118844
375.0	1.0036447424027053
380.0	1.0035485806684128
385.0	1.0034561320235298
390.0	1.003367435876429
395.0	1.0032820608230593
400.0	1.0031999112430896
