# k (MeV)	C(k)
0.1	0.0
1.102256	0.0
2.104511	1.3e-05
3.106767	0.000719
4.109023	0.005118
5.111278	0.016033
6.113534	0.033398
7.115789	0.055292
8.118045	0.079535
9.120301	0.104411
10.122556	0.128789
11.124812	0.152006
12.127068	0.173729
13.129323	0.193831
14.131579	0.212311
15.133835	0.229237
16.13609	0.244712
17.138346	0.258856
18.140602	0.271789
19.142857	0.28363
20.145113	0.29449
21.147368	0.304471
22.149624	0.313665
23.15188	0.322157
24.154135	0.33002
25.156391	0.337324
26.158647	0.344126
27.160902	0.350482
28.163158	0.356439
29.165414	0.362039
30.167669	0.367322
31.169925	0.372321
32.17218	0.377067
33.174436	0.381588
34.176692	0.385908
35.178947	0.390049
36.181203	0.394032
37.183459	0.397874
38.185714	0.401592
39.18797	0.405201
40.190226	0.408713
41.192481	0.412141
42.194737	0.415496
43.196992	0.418787
44.199248	0.422024
45.201504	0.425214
46.203759	0.428366
47.206015	0.431484
48.208271	0.434577
49.210526	0.437648
50.212782	0.440703
51.215038	0.443746
52.217293	0.446782
53.219549	0.449813
54.221805	0.452844
55.22406	0.455876
56.226316	0.458913
57.228571	0.461958
58.230827	0.465011
59.233083	0.468075
60.235338	0.471151
61.237594	0.474241
62.23985	0.477346
63.242105	0.480466
64.244361	0.483604
65.246617	0.486759
66.248872	0.489931
67.251128	0.493122
68.253383	0.496332
69.255639	0.49956
70.257895	0.502807
71.26015	0.506073
72.262406	0.509358
73.264662	0.512661
74.266917	0.515983
75.269173	0.519322
76.271429	0.522679
77.273684	0.526053
78.27594	0.529444
79.278195	0.53285
80.280451	0.536272
81.282707	0.539708
82.284962	0.543158
83.287218	0.546621
84.289474	0.550097
85.291729	0.553585
86.293985	0.557083
87.296241	0.560592
88.298496	0.56411
89.300752	0.567636
90.303008	0.571169
91.305263	0.574709
92.307519	0.578254
93.309774	0.581805
94.31203	0.585359
95.314286	0.588916
96.316541	0.592475
97.318797	0.596035
98.321053	0.599595
99.323308	0.603154
100.325564	0.606712
101.32782	0.610267
102.330075	0.613818
103.332331	0.617365
104.334586	0.620907
105.336842	0.624443
106.339098	0.627971
107.341353	0.631492
108.343609	0.635004
109.345865	0.638507
110.34812	0.642
111.350376	0.645481
112.352632	0.64895
113.354887	0.652407
114.357143	0.65585
115.359398	0.65928
116.361654	0.662694
117.36391	0.666093
118.366165	0.669476
119.368421	0.672842
120.370677	0.676191
121.372932	0.679522
122.375188	0.682833
123.377444	0.686126
124.379699	0.689399
125.381955	0.692652
126.384211	0.695883
127.386466	0.699094
128.388722	0.702282
129.390977	0.705449
130.393233	0.708592
131.395489	0.711713
132.397744	0.71481
133.4	0.717883
134.402256	0.720932
135.404511	0.723956
136.406767	0.726955
137.409023	0.729929
138.411278	0.732878
139.413534	0.7358
140.415789	0.738697
141.418045	0.741568
142.420301	0.744411
143.422556	0.747229
144.424812	0.750019
145.427068	0.752783
146.429323	0.755519
147.431579	0.758228
148.433835	0.760909
149.43609	0.763563
150.438346	0.76619
151.440602	0.768789
152.442857	0.77136
153.445113	0.773903
154.447368	0.776419
155.449624	0.778906
156.45188	0.781366
157.454135	0.783799
158.456391	0.786203
159.458647	0.78858
160.460902	0.790929
161.463158	0.79325
162.465414	0.795544
163.467669	0.79781
164.469925	0.800049
165.47218	0.802261
166.474436	0.804446
167.476692	0.806603
168.478947	0.808734
169.481203	0.810838
170.483459	0.812915
171.485714	0.814965
172.48797	0.81699
173.490226	0.818988
174.492481	0.82096
175.494737	0.822907
176.496992	0.824827
177.499248	0.826723
178.501504	0.828593
179.503759	0.830438
180.506015	0.832258
181.508271	0.834054
182.510526	0.835825
183.512782	0.837572
184.515038	0.839296
185.517293	0.840995
186.519549	0.842671
187.521805	0.844324
188.52406	0.845953
189.526316	0.84756
190.528571	0.849144
191.530827	0.850706
192.533083	0.852246
193.535338	0.853765
194.537594	0.855261
195.53985	0.856736
196.542105	0.858191
197.544361	0.859624
198.546617	0.861037
199.548872	0.862429
200.551128	0.863802
201.553383	0.865155
202.555639	0.866488
203.557895	0.867802
204.56015	0.869096
205.562406	0.870372
206.564662	0.87163
207.566917	0.872869
208.569173	0.87409
209.571429	0.875294
210.573684	0.876479
211.57594	0.877648
212.578195	0.878799
213.580451	0.879934
214.582707	0.881052
215.584962	0.882154
216.587218	0.88324
217.589474	0.884309
218.591729	0.885364
219.593985	0.886402
220.596241	0.887426
221.598496	0.888435
222.600752	0.889429
223.603008	0.890408
224.605263	0.891374
225.607519	0.892325
226.609774	0.893263
227.61203	0.894187
228.614286	0.895097
229.616541	0.895994
230.618797	0.896879
231.621053	0.897751
232.623308	0.89861
233.625564	0.899456
234.62782	0.900291
235.630075	0.901114
236.632331	0.901925
237.634586	0.902724
238.636842	0.903512
239.639098	0.904289
240.641353	0.905054
241.643609	0.905809
242.645865	0.906554
243.64812	0.907288
244.650376	0.908011
245.652632	0.908725
246.654887	0.909428
247.657143	0.910122
248.659398	0.910806
249.661654	0.91148
250.66391	0.912146
251.666165	0.912802
252.668421	0.913449
253.670677	0.914087
254.672932	0.914717
255.675188	0.915338
256.677444	0.91595
257.679699	0.916555
258.681955	0.917151
259.684211	0.917739
260.686466	0.91832
261.688722	0.918892
262.690977	0.919457
263.693233	0.920015
264.695489	0.920565
265.697744	0.921108
266.7	0.921644
267.702256	0.922173
268.704511	0.922695
269.706767	0.923211
270.709023	0.923719
271.711278	0.924222
272.713534	0.924717
273.715789	0.925207
274.718045	0.92569
275.720301	0.926168
276.722556	0.926639
277.724812	0.927104
278.727068	0.927564
279.729323	0.928018
280.731579	0.928466
281.733835	0.928909
282.73609	0.929346
283.738346	0.929778
284.740602	0.930205
285.742857	0.930626
286.745113	0.931043
287.747368	0.931454
288.749624	0.931861
289.75188	0.932263
290.754135	0.93266
291.756391	0.933052
292.758647	0.93344
293.760902	0.933823
294.763158	0.934202
295.765414	0.934576
296.767669	0.934946
297.769925	0.935312
298.77218	0.935674
299.774436	0.936032
300.776692	0.936385
301.778947	0.936735
302.781203	0.93708
303.783459	0.937422
304.785714	0.93776
305.78797	0.938094
306.790226	0.938425
307.792481	0.938752
308.794737	0.939075
309.796992	0.939395
310.799248	0.939712
311.801504	0.940025
312.803759	0.940334
313.806015	0.940641
314.808271	0.940944
315.810526	0.941244
316.812782	0.94154
317.815038	0.941834
318.817293	0.942125
319.819549	0.942412
320.821805	0.942697
321.82406	0.942979
322.826316	0.943257
323.828571	0.943533
324.830827	0.943807
325.833083	0.944077
326.835338	0.944345
327.837594	0.94461
328.83985	0.944872
329.842105	0.945132
330.844361	0.945389
331.846617	0.945644
332.848872	0.945896
333.851128	0.946146
334.853383	0.946393
335.855639	0.946638
336.857895	0.946881
337.86015	0.947121
338.862406	0.947359
339.864662	0.947594
340.866917	0.947828
341.869173	0.948059
342.871429	0.948288
343.873684	0.948515
344.87594	0.94874
345.878195	0.948963
346.880451	0.949184
347.882707	0.949402
348.884962	0.949619
349.887218	0.949834
350.889474	0.950047
351.891729	0.950258
352.893985	0.950467
353.896241	0.950674
354.898496	0.950879
355.900752	0.951083
356.903008	0.951284
357.905263	0.951484
358.907519	0.951682
359.909774	0.951879
360.91203	0.952074
361.914286	0.952267
362.916541	0.952458
363.918797	0.952648
364.921053	0.952836
365.923308	0.953023
366.925564	0.953208
367.92782	0.953391
368.930075	0.953573
369.932331	0.953753
370.934586	0.953932
371.936842	0.95411
372.939098	0.954286
373.941353	0.95446
374.943609	0.954633
375.945865	0.954805
376.94812	0.954975
377.950376	0.955144
378.952632	0.955311
379.954887	0.955477
380.957143	0.955642
381.959398	0.955806
382.961654	0.955968
383.96391	0.956129
384.966165	0.956289
385.968421	0.956447
386.970677	0.956604
387.972932	0.95676
388.975188	0.956915
389.977444	0.957069
390.979699	0.957221
391.981955	0.957372
392.984211	0.957522
393.986466	0.957671
394.988722	0.957819
395.990977	0.957966
396.993233	0.958112
397.995489	0.958256
398.997744	0.958399
400.0	0.958542
