# k (MeV)	C(k)
0.197327	0.379348
2.176536	0.378326
4.155745	0.377632
6.134955	0.377268
8.114164	0.377234
10.093373	0.377529
12.072582	0.378152
14.051792	0.379103
16.031001	0.380379
18.01021	0.381977
19.989419	0.383894
21.968629	0.386127
23.947838	0.388671
25.927047	0.391521
27.906256	0.394672
29.885466	0.398118
31.864675	0.401853
33.843884	0.40587
35.823093	0.410161
37.802302	0.414719
39.781512	0.419536
41.760721	0.424603
43.73993	0.429911
45.719139	0.435452
47.698349	0.441215
49.677558	0.447192
51.656767	0.453372
53.635976	0.459745
55.615186	0.4663
57.594395	0.473027
59.573604	0.479917
61.552813	0.486956
63.532023	0.494136
65.511232	0.501445
67.490441	0.508873
69.46965	0.516408
71.44886	0.524039
73.428069	0.531757
75.407278	0.539551
77.386487	0.547409
79.365697	0.555322
81.344906	0.56328
83.324115	0.571273
85.303324	0.57929
87.282533	0.587323
89.261743	0.595361
91.240952	0.603397
93.220161	0.611421
95.19937	0.619425
97.17858	0.627401
99.157789	0.635341
101.136998	0.643236
103.116207	0.651082
105.095417	0.658869
107.074626	0.666592
109.053835	0.674245
111.033044	0.681821
113.012254	0.689316
114.991463	0.696724
116.970672	0.70404
118.949881	0.71126
120.929091	0.718379
122.9083	0.725395
124.887509	0.732304
126.866718	0.739101
128.845927	0.745786
130.825137	0.752354
132.804346	0.758805
134.783555	0.765135
136.762764	0.771344
138.741974	0.777431
140.721183	0.783393
142.700392	0.789231
144.679601	0.794943
146.658811	0.80053
148.63802	0.805992
150.617229	0.811327
152.596438	0.816538
154.575648	0.821624
156.554857	0.826586
158.534066	0.831425
160.513275	0.836142
162.492485	0.840738
164.471694	0.845215
166.450903	0.849573
168.430112	0.853815
170.409321	0.857941
172.388531	0.861955
174.36774	0.865857
176.346949	0.869649
178.326158	0.873334
180.305368	0.876914
182.284577	0.88039
184.263786	0.883765
186.242995	0.88704
188.222205	0.890219
190.201414	0.893303
192.180623	0.896295
194.159832	0.899196
196.139042	0.902009
198.118251	0.904737
200.09746	0.907381
202.076669	0.909943
204.055879	0.912426
206.035088	0.914833
208.014297	0.917165
209.993506	0.919424
211.972715	0.921612
213.951925	0.923732
215.931134	0.925785
217.910343	0.927775
219.889552	0.929701
221.868762	0.931567
223.847971	0.933375
225.82718	0.935126
227.806389	0.936822
229.785599	0.938464
231.764808	0.940055
233.744017	0.941597
235.723226	0.94309
237.702436	0.944537
239.681645	0.945938
241.660854	0.947296
243.640063	0.948613
245.619273	0.949888
247.598482	0.951124
249.577691	0.952323
251.5569	0.953484
253.53611	0.95461
255.515319	0.955703
257.494528	0.956762
259.473737	0.957789
261.452946	0.958785
263.432156	0.959752
265.411365	0.96069
267.390574	0.9616
269.369783	0.962483
271.348993	0.963341
273.328202	0.964173
275.307411	0.964982
277.28662	0.965767
279.26583	0.96653
281.245039	0.96727
283.224248	0.96799
285.203457	0.96869
287.182667	0.969369
289.161876	0.97003
291.141085	0.970673
293.120294	0.971298
295.099504	0.971905
297.078713	0.972496
299.057922	0.973071
301.037131	0.973631
303.01634	0.974176
304.99555	0.974706
306.974759	0.975222
308.953968	0.975724
310.933177	0.976213
312.912387	0.97669
314.891596	0.977154
316.870805	0.977606
318.850014	0.978047
320.829224	0.978476
322.808433	0.978895
324.787642	0.979303
326.766851	0.9797
328.746061	0.980088
330.72527	0.980467
332.704479	0.980836
334.683688	0.981196
336.662898	0.981547
338.642107	0.98189
340.621316	0.982224
342.600525	0.982551
344.579734	0.98287
346.558944	0.983181
348.538153	0.983485
350.517362	0.983782
352.496571	0.984071
354.475781	0.984355
356.45499	0.984631
358.434199	0.984902
360.413408	0.985166
362.392618	0.985424
364.371827	0.985677
366.351036	0.985923
368.330245	0.986165
370.309455	0.9864
372.288664	0.986631
374.267873	0.986857
376.247082	0.987077
378.226292	0.987293
380.205501	0.987505
382.18471	0.987711
384.163919	0.987913
386.143128	0.988111
388.122338	0.988305
390.101547	0.988495
392.080756	0.988681
394.059965	0.988862
396.039175	0.98904
398.018384	0.989215
399.997593	0.989385
401.976802	0.989553
403.956012	0.989717
405.935221	0.989877
407.91443	0.990034
409.893639	0.990188
411.872849	0.990339
413.852058	0.990487
415.831267	0.990632
417.810476	0.990775
419.789686	0.990914
421.768895	0.991051
423.748104	0.991185
425.727313	0.991316
427.706522	0.991445
429.685732	0.991571
431.664941	0.991695
433.64415	0.991817
435.623359	0.991936
437.602569	0.992053
439.581778	0.992168
441.560987	0.992281
443.540196	0.992391
445.519406	0.9925
447.498615	0.992606
449.477824	0.992711
451.457033	0.992814
453.436243	0.992914
455.415452	0.993013
457.394661	0.99311
459.37387	0.993206
461.35308	0.993299
463.332289	0.993391
465.311498	0.993482
467.290707	0.993571
469.269917	0.993658
471.249126	0.993743
473.228335	0.993828
475.207544	0.99391
477.186753	0.993991
479.165963	0.994071
481.145172	0.99415
483.124381	0.994227
485.10359	0.994303
487.0828	0.994377
489.062009	0.99445
491.041218	0.994522
493.020427	0.994593
494.999637	0.994663
496.978846	0.994731
498.958055	0.994798
500.937264	0.994864
502.916474	0.99493
504.895683	0.994994
506.874892	0.995056
508.854101	0.995118
510.833311	0.995179
512.81252	0.995239
514.791729	0.995298
516.770938	0.995356
518.750147	0.995413
520.729357	0.995469
522.708566	0.995525
524.687775	0.995579
526.666984	0.995632
528.646194	0.995685
530.625403	0.995737
532.604612	0.995788
534.583821	0.995838
536.563031	0.995888
538.54224	0.995936
540.521449	0.995984
542.500658	0.996032
544.479868	0.996078
546.459077	0.996124
548.438286	0.996169
550.417495	0.996213
552.396705	0.996257
554.375914	0.9963
556.355123	0.996342
558.334332	0.996384
560.313541	0.996425
562.292751	0.996466
564.27196	0.996506
566.251169	0.996545
568.230378	0.996584
570.209588	0.996622
572.188797	0.99666
574.168006	0.996697
576.147215	0.996734
578.126425	0.99677
580.105634	0.996805
582.084843	0.99684
584.064052	0.996875
586.043262	0.996909
588.022471	0.996942
590.00168	0.996975
591.980889	0.997008
