# k (MeV)	C(k)
0.10000000149011612	0.2972710010276862
1.0	0.29680403950337886
2.0	0.2958161611888526
3.0	0.2947099109503319
4.0	0.2936553780122146
5.0	0.29263021736473976
6.0	0.29186566016261317
7.0	0.2915372707953823
8.0	0.2907472502362163
9.0	0.2914010093051936
10.0	0.2909489143386457
13.0	0.29196026857680624
16.0	0.29238074863781244
19.0	0.2934156635556884
22.0	0.29663648433030726
25.0	0.2995071966292103
28.0	0.30310041699547197
31.0	0.30742837587138283
34.0	0.31248956806095596
37.0	0.31828237071235477
40.0	0.3247720531157101
43.0	0.3319731574440854
46.0	0.33984628728451555
49.0	0.34871405642426717
52.0	0.3579643026145646
55.0	0.3678142385853782
60.0	0.3854702565437843
65.0	0.4045571792440721
70.0	0.4249105197011954
75.0	0.44636822288515965
80.0	0.4688236021203973
85.0	0.492399759784323
90.0	0.5146351420741531
95.0	0.53586131667591
100.0	0.5573305925207996
105.0	0.5786036979142862
110.0	0.5995017049754097
115.0	0.6199063304269001
120.0	0.639727061513214
125.0	0.6588952496505452
130.0	0.6773542763298402
135.0	0.695064668787211
140.0	0.711997941374031
145.0	0.7281367989536199
150.0	0.7434731017817153
155.0	0.758008164282203
160.0	0.7717496686455746
165.0	0.784713564338328
170.0	0.7969182635048677
175.0	0.8083892339376324
180.0	0.8191537482983802
185.0	0.8292427658614568
190.0	0.838688026811716
195.0	0.8475198367111332
200.0	0.8557781685681202
205.0	0.8634945237603203
210.0	0.8707028269389411
215.0	0.8774353782234131
220.0	0.8837233841449527
225.0	0.889598111264407
230.0	0.8950883611062967
235.0	0.9002206301058017
240.0	0.9050221543414352
245.0	0.9095158472133656
250.0	0.9137293361625456
255.0	0.9176765012353743
260.0	0.9213808864272908
265.0	0.9248591368500894
270.0	0.9281291695409382
275.0	0.9312055697126933
280.0	0.9341029762627135
285.0	0.9368344402513904
290.0	0.9394122389943074
295.0	0.9418468251049658
300.0	0.944148576939012
305.0	0.9463267662497796
310.0	0.9483899022996771
315.0	0.9503457969112779
320.0	0.9522018135686348
325.0	0.9539641731419443
330.0	0.95563912151636
335.0	0.9572322368663371
340.0	0.9587486553460405
345.0	0.9601931093307161
350.0	0.9615699619675707
355.0	0.9628833032647865
360.0	0.9641368434044763
365.0	0.9653338322297793
370.0	0.9664775580868346
375.0	0.9675709471991054
380.0	0.9686167022885888
385.0	0.969617319054069
390.0	0.9705750885753751
395.0	0.9714921603239314
400.0	0.9723704802336106
