# k (MeV)	C(k)
0.197327	120.56186
2.176536	10.930714
4.155745	5.731217
6.134955	3.915569
8.114164	3.02182
10.093373	2.505447
12.072582	2.175666
14.051792	1.949701
16.031001	1.786584
18.01021	1.664037
19.989419	1.569033
21.968629	1.493508
23.947838	1.432226
25.927047	1.381654
27.906256	1.339329
29.885466	1.303484
31.864675	1.27282
33.843884	1.246363
35.823093	1.223368
37.802302	1.203255
39.781512	1.185568
41.760721	1.169942
43.73993	1.156081
45.719139	1.143744
47.698349	1.132732
49.677558	1.122878
51.656767	1.114042
53.635976	1.106106
55.615186	1.098969
57.594395	1.092544
59.573604	1.086756
61.552813	1.081539
63.532023	1.076838
65.511232	1.0726
67.490441	1.068782
69.46965	1.065346
71.44886	1.062254
73.428069	1.059477
75.407278	1.056985
77.386487	1.054754
79.365697	1.052761
81.344906	1.050984
83.324115	1.049405
85.303324	1.048007
87.282533	1.046773
89.261743	1.04569
91.240952	1.044744
93.220161	1.043922
95.19937	1.043214
97.17858	1.04261
99.157789	1.0421
101.136998	1.041674
103.116207	1.041326
105.095417	1.041047
107.074626	1.04083
109.053835	1.04067
111.033044	1.04056
113.012254	1.040495
114.991463	1.040469
116.970672	1.040479
118.949881	1.040519
120.929091	1.040586
122.9083	1.040676
124.887509	1.040785
126.866718	1.040911
128.845927	1.041051
130.825137	1.041201
132.804346	1.041361
134.783555	1.041527
136.762764	1.041697
138.741974	1.04187
140.721183	1.042044
142.700392	1.042217
144.679601	1.042389
146.658811	1.042558
148.63802	1.042722
150.617229	1.042882
152.596438	1.043036
154.575648	1.043184
156.554857	1.043324
158.534066	1.043456
160.513275	1.043581
162.492485	1.043697
164.471694	1.043804
166.450903	1.043902
168.430112	1.043991
170.409321	1.04407
172.388531	1.044141
174.36774	1.044201
176.346949	1.044252
178.326158	1.044294
180.305368	1.044327
182.284577	1.04435
184.263786	1.044365
186.242995	1.04437
188.222205	1.044367
190.201414	1.044355
192.180623	1.044335
194.159832	1.044308
196.139042	1.044272
198.118251	1.044229
200.09746	1.044178
202.076669	1.04412
204.055879	1.044056
206.035088	1.043985
208.014297	1.043908
209.993506	1.043825
211.972715	1.043737
213.951925	1.043643
215.931134	1.043544
217.910343	1.04344
219.889552	1.043331
221.868762	1.043218
223.847971	1.043101
225.82718	1.04298
227.806389	1.042855
229.785599	1.042727
231.764808	1.042595
233.744017	1.042461
235.723226	1.042324
237.702436	1.042184
239.681645	1.042041
241.660854	1.041897
243.640063	1.04175
245.619273	1.041602
247.598482	1.041452
249.577691	1.0413
251.5569	1.041147
253.53611	1.040992
255.515319	1.040837
257.494528	1.04068
259.473737	1.040523
261.452946	1.040364
263.432156	1.040205
265.411365	1.040046
267.390574	1.039886
269.369783	1.039725
271.348993	1.039565
273.328202	1.039404
275.307411	1.039243
277.28662	1.039082
279.26583	1.038921
281.245039	1.03876
