# k (MeV)	C(k)
0.10000000149011612	0.6623290860140962
1.0	0.6624767102885296
2.0	0.6624427022062984
3.0	0.662441381966831
4.0	0.662455400441307
5.0	0.662541578057338
6.0	0.6626926192837554
7.0	0.6629731699924584
8.0	0.6631831764769383
9.0	0.6637515374154848
10.0	0.6640862925433821
13.0	0.6657999965367228
16.0	0.6675767935047334
19.0	0.6697214874554113
22.0	0.6725656349442803
25.0	0.6754822568466383
28.0	0.6787382176352316
31.0	0.682315476487356
34.0	0.6862023105201943
37.0	0.6903799860913209
40.0	0.6948343061493586
43.0	0.6995470767200477
46.0	0.7045019553202443
49.0	0.7097761518841615
52.0	0.7151679062807762
55.0	0.720744644545665
60.0	0.7303996161554019
65.0	0.7404257747664769
70.0	0.7507332390365862
75.0	0.7612353593942249
80.0	0.7718474930130782
85.0	0.7824896437658903
90.0	0.7930875802529345
95.0	0.8035731657863251
100.0	0.8138840458388474
105.0	0.8239662958424883
110.0	0.8337720727673615
115.0	0.8432613314455908
120.0	0.8524011272318358
125.0	0.8611654303194256
130.0	0.8695351933023441
135.0	0.8774972836000979
140.0	0.8850443891938007
145.0	0.8921743563391793
150.0	0.8988896187411737
155.0	0.9051964338345113
160.0	0.9111047598182314
165.0	0.9166270809094115
170.0	0.9217782666933216
175.0	0.9265747223351736
180.0	0.931034175011244
185.0	0.9351751189944928
190.0	0.9390164878048648
195.0	0.9425773066461929
200.0	0.9458763823072622
205.0	0.948932144946788
210.0	0.9517623793164123
215.0	0.9543841650893162
220.0	0.956813739254305
225.0	0.9590663793317156
230.0	0.9611564078077006
235.0	0.9630973117714687
240.0	0.9649014172402548
245.0	0.9665802412777897
250.0	0.9681464897681434
255.0	0.9696054888934842
260.0	0.9709681859596043
265.0	0.9722427067649597
270.0	0.97343633457803
275.0	0.9745557348800684
280.0	0.9756070359028421
285.0	0.9765956846718353
290.0	0.9775266477033373
295.0	0.9784044690464767
300.0	0.9792332293722297
305.0	0.9800166420842871
310.0	0.9807580766638047
315.0	0.981460592421324
320.0	0.9821269578382801
325.0	0.982759722372377
330.0	0.9833611756554765
335.0	0.9839334127248138
340.0	0.9844783431360267
345.0	0.9849977085722519
350.0	0.9854930985334388
355.0	0.9859659399328721
360.0	0.9864175971234207
365.0	0.9868492750821056
370.0	0.9872620718227495
375.0	0.9876569982481994
380.0	0.9880349779107963
385.0	0.988396854497381
390.0	0.9887433931967682
395.0	0.9890753094425112
400.0	0.989393241396867
