# k (MeV)	C(k)
0.10000000149011612	0.7680865132094661
1.0	0.7668765797139243
2.0	0.7642728608165016
3.0	0.761455402878468
4.0	0.7586522571285492
5.0	0.7558304356722407
6.0	0.7532087468390195
7.0	0.7509548989919187
8.0	0.7481669392459491
9.0	0.7467485362827819
10.0	0.7441498182346249
13.0	0.7382842600375032
16.0	0.7312087964951733
19.0	0.7241866959606823
22.0	0.7188520947726055
25.0	0.7127324357135575
28.0	0.7069628514703715
31.0	0.7016161302591443
34.0	0.6967486599712845
37.0	0.6924135234633543
40.0	0.6886271208440876
43.0	0.6854512723316466
46.0	0.6828898192081605
49.0	0.6813044566079433
52.0	0.6801178828710044
55.0	0.6795779141977994
60.0	0.6800911616372927
65.0	0.6823313253015721
70.0	0.686190647448247
75.0	0.6915134848939406
80.0	0.6981019398324563
85.0	0.7056016855458849
90.0	0.7040968863637636
95.0	0.7117194741122064
100.0	0.7222399119903736
105.0	0.733949540291595
110.0	0.7461895083755677
115.0	0.7586612473797739
120.0	0.7711545102399773
125.0	0.7835205851348181
130.0	0.7956435508692943
135.0	0.8074381017618868
140.0	0.8188356994993462
145.0	0.8297871453488245
150.0	0.8402561286027244
155.0	0.8502185550844608
160.0	0.8596600868626345
165.0	0.8685767569550784
170.0	0.8769690378958692
175.0	0.8848461973612589
180.0	0.8922210508603375
185.0	0.8991128352262433
190.0	0.9055484294112911
195.0	0.9115427533439732
200.0	0.9170812746279646
205.0	0.9222222332729265
210.0	0.9269896980627774
215.0	0.9314074208798802
220.0	0.9354985923518594
225.0	0.939287064304519
230.0	0.942794987142472
235.0	0.9460424912431242
240.0	0.949050882144232
245.0	0.9518378542090077
250.0	0.954425710400584
255.0	0.956823884356837
260.0	0.9590512984571772
265.0	0.9611205922475723
270.0	0.9630461743393437
275.0	0.9648389857676294
280.0	0.9665101108155443
285.0	0.9680697075189685
290.0	0.9695270251281056
295.0	0.9708898772529162
300.0	0.972166115378088
305.0	0.9733626850159722
310.0	0.9744857899746163
315.0	0.9755412004693108
320.0	0.9765343289035244
325.0	0.9774695586532939
330.0	0.9783514380173471
335.0	0.9791838655222067
340.0	0.9799704762442629
345.0	0.980714563137606
350.0	0.9814191314715914
355.0	0.9820869915524818
360.0	0.9827206458262856
365.0	0.983322213778616
370.0	0.9838939075755138
375.0	0.9844376218190749
380.0	0.9849551209274167
385.0	0.9854480055735134
390.0	0.9859177278695778
395.0	0.9863656545162157
400.0	0.9867930007047758
